Id;Name;Code
6C86D8F6-C8A0-4E58-8B04-05AC0BBE09E9;Fruits crus;
71533D8C-E40D-400E-8D50-6C5CD8874247;Fruits séchés ou lyophilisés;
69A18613-3374-4EC9-B8FE-1F1DB19A8A1C;Fruits appertisés, au sirop ou au jus;
F0EF52A9-B184-4630-964D-82CC14CA6FF9;Confitures et assimilés;
DB401458-FF85-4BF6-A363-A02A21EF212B;Compotes et assimilés;
94D2D86F-516E-40FD-A7CA-28CE67DDB9FE;Autres produits transformés à base de fruits;
9F4050C2-0DFE-488C-B891-E55E44C1C48D;Jus et nectars;
19CEB963-0A7A-40B5-A4C2-40EBA47C1FBE;Jus;
35944A6C-AEDC-42C3-AAC7-606A59862C89;Nectars;
78795DB4-AC96-4FB8-B536-4B1A550ADF0B;Fruits à coques et graines oléagineuses;
4D4B89A5-FC83-47C5-B809-3054DE2FBE74;Sucres, miels, sirops;
00C4201B-72BB-41EF-9522-F6A530F0B96C;Confiseries non chocolatées;
25C56FD8-B575-412D-B47F-E5E1B98A4514;Chocolats et produits à base de chocolat;
9904C7DA-35E1-4C63-8B69-C00CEC3EEFBB;Boissons rafraîchissantes sans alcool avec sucre;
5F5AE31D-E672-4F45-A1F0-CC7BCFD52A52;Eaux;
275CB493-C2FB-421E-8D1D-AD1E4E6114B1;Café, thé, cacao, etc. en poudre à préparer;
2621485F-01AD-45A0-BEE8-7983692CA710;Café, thé, cacao, etc. prêts à consommer;
53AE65B7-D138-48E4-92D2-367D3050683B;Préparations pour boissons rafraîch. sans alcool;
B841E519-4B95-4661-8C8E-F2D5BD6E9C98;Boissons rafraîchissantes sans alcool lactées;
18C90978-44E0-4B1E-BDDF-D54E0A5EA99F;Boissons rafraîchissantes sans alcool sans sucre;
2E9B4989-7200-466B-8D36-52A67F587519;Bières et similaires;
F2D29F2E-DB34-4F8F-82BD-70C27F266595;Cidres et similaires;
E415B437-3370-4E0E-949F-DB37E586B9AB;Vins;
1DE5BB21-1415-46E3-9E8D-5099C36C75A1;Liqueurs et alcools;
DB3BF39F-A53B-4220-B250-539CF9FB5048;Cocktails;
57F68208-81C1-4E4B-9C40-F5FF5D21E20A;Salades composées et crudités;
83625B2B-4099-4D0B-8874-9FC1821408DF;Plats composés;
E5D2ECB8-B08E-4895-A3E3-FFA9ADF0E8E1;Plats de viande/volaille sans garniture;
